"work_year","job_title","company_size","employment_type","avg_salary_EN","avg_salary_MI","avg_salary_SE","avg_salary_EX"
2022,"Data Analyst","L","PT",25216,NA,NA,NA
2022,"Data Analyst","M","FT",45061.3333333333,111005.291666667,113865.494186047,120000
2022,"Data Analyst","S","FT",55000,45333.3333333333,NA,NA
2022,"Data Analyst","S","PT",79862,NA,NA,NA
2022,"Data Analyst","M","CT",NA,NA,90000,NA
2022,"Data Analytics Consultant","S","FL",50000,NA,NA,NA
2022,"Data Analytics Consultant","L","FT",NA,113000,NA,NA
2022,"Data Analytics Engineer","M","FT",20000,NA,NA,NA
2022,"Data Analytics Engineer","L","FT",NA,135000,NA,NA
2022,"Data Analytics Lead","L","FT",NA,NA,405000,NA
2022,"Data Analytics Manager","M","FT",NA,147500,127485,NA
2022,"Data Analytics Manager","L","FT",NA,NA,133000,NA
2022,"Data Architect","L","FT",NA,NA,163350,NA
2022,"Data Architect","M","FT",NA,NA,166352.642857143,NA
2022,"Data Engineer","L","FT",88722,35610,160853.583333333,NA
2022,"Data Engineer","M","FT",114932.15,102272.428571429,147415.253776435,234700
2022,"Data Engineer","S","FT",65000,65666,NA,NA
2022,"Data Engineer","L","PT",NA,52533,NA,NA
2022,"Data Management Specialist","L","FT",NA,NA,68293,NA
2022,"Data Manager","M","FT",61450,116000,82477,NA
2022,"Data Manager","L","FT",NA,NA,NA,125976
2022,"Data Operations Analyst","M","FT",NA,NA,90562.5,NA
2022,"Data Operations Engineer","M","FT",NA,80000,87500,NA
2022,"Data Science Tech Lead","L","FT",NA,NA,375000,NA
2022,"Data Scientist","L","FT",56818.2222222222,90472.25,153435.58974359,149018.5
2022,"Data Scientist","M","FT",86053.2105263158,106586.892307692,154159.185964912,190159.375
2022,"Data Scientist","M","PT",105000,NA,NA,NA
2022,"Data Scientist","S","FT",52008,59805,113333.333333333,NA
2022,"Data Scientist","M","FL",NA,1e+05,NA,NA
2022,"Data Scientist Lead","L","FT",NA,89306,183000,NA
2022,"Data Specialist","L","FT",105000,NA,185000,NA
2022,"Data Specialist","M","FT",NA,150000,87500,NA
2022,"Deep Learning Engineer","M","FT",NA,67723,NA,NA
2022,"ETL Developer","M","FT",NA,52533,151183.75,NA
2022,"Financial Data Analyst","L","FT",1e+05,NA,NA,NA
2022,"Financial Data Analyst","M","FT",NA,75000,NA,NA
2022,"Head of Business Intelligence","L","FT",NA,NA,NA,105066
2022,"Head of Data","M","FT",NA,NA,2e+05,182500
2022,"Head of Data","S","FT",NA,31520,NA,NA
2022,"Head of Machine Learning","L","FT",NA,NA,NA,76309
2022,"Lead Data Engineer","S","FT",NA,NA,NA,115222
2022,"Lead Data Scientist","S","FT",NA,61566,29944,NA
2022,"Lead Data Scientist","L","FT",NA,NA,144475,NA
2022,"Lead Machine Learning Engineer","L","FT",NA,NA,82365,NA
2022,"Lead Machine Learning Engineer","M","FT",NA,NA,84053,NA
2022,"MLOps Engineer","M","FT",NA,129000,NA,NA
2022,"Machine Learning Developer","L","FT",180000,NA,NA,NA
2022,"Machine Learning Developer","M","FT",40000,76814,76814,NA
2022,"Machine Learning Developer","S","FT",33000,NA,NA,NA
2022,"Machine Learning Engineer","L","FT",56821.2,97383.8333333333,151311.75,NA
2022,"Machine Learning Engineer","M","FL",1e+05,NA,NA,NA
2022,"Machine Learning Engineer","M","FT",165000,126751.866666667,174644.013513514,NA
2022,"Machine Learning Engineer","S","FT",73315.3333333333,120000,79083.25,NA
2022,"Machine Learning Infrastructure Engineer","L","FT",NA,55685,NA,NA
2022,"Machine Learning Infrastructure Engineer","M","FT",NA,NA,167400,NA
2022,"Machine Learning Manager","M","FT",NA,NA,175000,NA
2022,"Machine Learning Research Engineer","L","FT",66192,NA,NA,NA
2022,"Machine Learning Researcher","L","FT",NA,105236,NA,NA
2022,"Machine Learning Researcher","M","FT",NA,120000,NA,NA
2022,"Machine Learning Scientist","S","FT",57336,NA,NA,190000
2022,"Machine Learning Scientist","L","FT",NA,136150,NA,NA
2022,"Machine Learning Scientist","M","FT",NA,118950,170800,NA
2022,"Machine Learning Software Engineer","M","FT",NA,NA,240440,NA
2022,"Manager Data Management","L","FT",NA,NA,125000,NA
2022,"Marketing Data Analyst","S","FT",NA,NA,2e+05,NA
2022,"NLP Engineer","S","CT",NA,60000,NA,NA
2022,"NLP Engineer","S","FT",NA,44365,NA,NA
2022,"Principal Data Analyst","S","FT",NA,75000,NA,NA
2022,"Principal Data Architect","L","FT",NA,NA,38154,NA
2022,"Principal Data Scientist","M","FT",NA,NA,155499,NA
2022,"Principal Machine Learning Engineer","L","FT",NA,NA,190000,NA
2022,"Product Data Analyst","M","FT",1e+05,140000,NA,NA
2022,"Research Engineer","L","FT",41809,NA,NA,NA
2022,"Research Engineer","M","FT",16455,240000,199837.5,NA
2022,"Research Engineer","S","FT",NA,105066,NA,NA
2022,"Research Scientist","L","FT",120000,76663,116653,84053
2022,"Research Scientist","S","FT",NA,105066.5,NA,NA
2022,"Research Scientist","M","FT",NA,NA,209225,NA
2022,"Software Development Engineer","L","FT",15129,NA,NA,NA
2023,"AI Architect","L","FT",NA,NA,2e+05,215936
2023,"AI Architect","M","FT",NA,NA,258800,NA
2023,"AI Developer","L","FT",172968,NA,NA,NA
2023,"AI Developer","M","FT",64927,137441.5,162278.857142857,NA
